Variables="density","machnumber","pressure","temperature","velocity:0","velocity:1","velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.092737466097e-01,3.336794376373e-01,9.257927734375e+03,2.934650573730e+02,1.149191207886e+02,2.419744804502e-02,0.000000000000e+00,1,0.000000000000e+00,-1.499999966472e-02,0.000000000000e+00,0.000000000000e+00
1.092480719090e-01,3.342783451080e-01,9.255034179688e+03,2.934422912598e+02,1.151206054688e+02,3.298382461071e-02,0.000000000000e+00,1,4.150001332164e-04,-1.458499953151e-02,0.000000000000e+00,0.000000000000e+00
1.091911941767e-01,3.359512686729e-01,9.248188476562e+03,2.933779602051e+02,1.156835021973e+02,1.474027056247e-02,0.000000000000e+00,1,8.300002664328e-04,-1.416999939829e-02,0.000000000000e+00,0.000000000000e+00
1.090989038348e-01,3.385053873062e-01,9.237260742188e+03,2.932791748047e+02,1.165421676636e+02,4.601048305631e-02,0.000000000000e+00,1,1.245000399649e-03,-1.375499926507e-02,0.000000000000e+00,0.000000000000e+00
1.089633405209e-01,3.421201705933e-01,9.221348632812e+03,2.931381530762e+02,1.177588043213e+02,2.285537868738e-02,0.000000000000e+00,1,1.659999601543e-03,-1.334000006318e-02,0.000000000000e+00,0.000000000000e+00
1.088099181652e-01,3.464415967464e-01,9.203014648438e+03,2.929678344727e+02,1.192098312378e+02,4.100160673261e-02,0.000000000000e+00,1,2.074999734759e-03,-1.292499992996e-02,0.000000000000e+00,0.000000000000e+00
1.086140200496e-01,3.516510128975e-01,9.179923828125e+03,2.927598571777e+02,1.209591064453e+02,3.987497836351e-02,0.000000000000e+00,1,2.489999867976e-03,-1.250999979675e-02,0.000000000000e+00,0.000000000000e+00
1.083853989840e-01,3.576822280884e-01,9.152931640625e+03,2.925146789551e+02,1.229785079956e+02,5.038410797715e-02,0.000000000000e+00,1,2.905000001192e-03,-1.209499966353e-02,0.000000000000e+00,0.000000000000e+00
1.081255078316e-01,3.644827902317e-01,9.122313476562e+03,2.922369079590e+02,1.252563400269e+02,-2.835990488529e-02,0.000000000000e+00,1,3.320000134408e-03,-1.167999953032e-02,0.000000000000e+00,0.000000000000e+00
1.078290864825e-01,3.721034824848e-01,9.087367187500e+03,2.919174804688e+02,1.278081741333e+02,-1.074513327330e-02,0.000000000000e+00,1,3.735000267625e-03,-1.126499939710e-02,0.000000000000e+00,0.000000000000e+00
1.075159385800e-01,3.801290988922e-01,9.050277343750e+03,2.915727233887e+02,1.304839935303e+02,6.352650374174e-02,0.000000000000e+00,1,4.150000400841e-03,-1.084999926388e-02,0.000000000000e+00,0.000000000000e+00
1.071716248989e-01,3.888323903084e-01,9.009515625000e+03,2.911915588379e+02,1.333863220215e+02,5.443017929792e-02,0.000000000000e+00,1,4.564999602735e-03,-1.043500006199e-02,0.000000000000e+00,0.000000000000e+00
1.067802384496e-01,3.982715904713e-01,8.963683593750e+03,2.907720642090e+02,1.365221710205e+02,-2.488952130079e-03,0.000000000000e+00,1,4.979999735951e-03,-1.001999992877e-02,0.000000000000e+00,0.000000000000e+00
1.063497439027e-01,4.081464409828e-01,8.913769531250e+03,2.903231811523e+02,1.397997283936e+02,2.685931511223e-03,0.000000000000e+00,1,5.394999869168e-03,-9.604999795556e-03,0.000000000000e+00,0.000000000000e+00
1.058905273676e-01,4.188503623009e-01,8.860105468750e+03,2.898266296387e+02,1.433396759033e+02,6.067990139127e-02,0.000000000000e+00,1,5.810000002384e-03,-9.189999662340e-03,0.000000000000e+00,0.000000000000e+00
1.054011881351e-01,4.305055439472e-01,8.802346679688e+03,2.892739562988e+02,1.471810760498e+02,7.863730192184e-02,0.000000000000e+00,1,6.225000135601e-03,-8.774999529123e-03,0.000000000000e+00,0.000000000000e+00
