Variables="density","machnumber","pressure","temperature","velocity:0","velocity:1","velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.093159168959e-01,3.324940204620e-01,9.262930664062e+03,2.935103759766e+02,1.145197067261e+02,2.302244864404e-02,0.000000000000e+00,1,0.000000000000e+00,-1.499999966472e-02,0.000000000000e+00,-7.628296432027e-12
1.092895567417e-01,3.331095576286e-01,9.259959960938e+03,2.934869995117e+02,1.147268066406e+02,3.081989660859e-02,0.000000000000e+00,1,4.150001332164e-04,-1.458499953151e-02,0.000000000000e+00,-7.620667985542e-12
1.092312335968e-01,3.348297774792e-01,9.252939453125e+03,2.934210815430e+02,1.153057403564e+02,1.050275657326e-02,0.000000000000e+00,1,8.300002664328e-04,-1.416999939829e-02,0.000000000000e+00,-7.613039539056e-12
1.091366261244e-01,3.374553024769e-01,9.241735351562e+03,2.933197937012e+02,1.161885452271e+02,4.048638418317e-02,0.000000000000e+00,1,1.245000399649e-03,-1.375499926507e-02,0.000000000000e+00,-7.605411959932e-12
1.089976653457e-01,3.411726653576e-01,9.225417968750e+03,2.931751403809e+02,1.174399871826e+02,1.472487207502e-02,0.000000000000e+00,1,1.659999601543e-03,-1.334000006318e-02,0.000000000000e+00,-7.597783513447e-12
1.088402196765e-01,3.456161320210e-01,9.206603515625e+03,2.930004577637e+02,1.189322128296e+02,3.148801252246e-02,0.000000000000e+00,1,2.074999734759e-03,-1.292499992996e-02,0.000000000000e+00,-7.590155066961e-12
1.086393967271e-01,3.509680628777e-01,9.182924804688e+03,2.927871093750e+02,1.207295761108e+02,2.837569080293e-02,0.000000000000e+00,1,2.489999867976e-03,-1.250999979675e-02,0.000000000000e+00,-7.582526620475e-12
1.084048599005e-01,3.571641743183e-01,9.155233398438e+03,2.925357055664e+02,1.228043594360e+02,3.846595808864e-02,0.000000000000e+00,1,2.905000001192e-03,-1.209499966353e-02,0.000000000000e+00,-7.574898173990e-12
1.081379652023e-01,3.641509711742e-01,9.123791992188e+03,2.922505798340e+02,1.251447525024e+02,-4.360476136208e-02,0.000000000000e+00,1,3.320000134408e-03,-1.167999953032e-02,0.000000000000e+00,-7.567269727504e-12
1.078336536884e-01,3.719749152660e-01,9.087914062500e+03,2.919226379395e+02,1.277648315430e+02,-2.508446574211e-02,0.000000000000e+00,1,3.735000267625e-03,-1.126499939710e-02,0.000000000000e+00,-7.559642148380e-12
1.075126007199e-01,3.802097737789e-01,9.049883789062e+03,2.915690917969e+02,1.305103607178e+02,5.287439748645e-02,0.000000000000e+00,1,4.150000400841e-03,-1.084999926388e-02,0.000000000000e+00,-7.552013701895e-12
1.071591302752e-01,3.891386985779e-01,9.008043945312e+03,2.911779479980e+02,1.334878997803e+02,4.486635327339e-02,0.000000000000e+00,1,4.564999602735e-03,-1.043500006199e-02,0.000000000000e+00,-7.544385255409e-12
1.067573428154e-01,3.988203108311e-01,8.961000000000e+03,2.907473144531e+02,1.367039031982e+02,-1.194512844086e-02,0.000000000000e+00,1,4.979999735951e-03,-1.001999992877e-02,0.000000000000e+00,-7.536756808924e-12
1.063156425953e-01,4.089412987232e-01,8.909787109375e+03,2.902865295410e+02,1.400626373291e+02,-4.920329432935e-03,0.000000000000e+00,1,5.394999869168e-03,-9.604999795556e-03,0.000000000000e+00,-7.529128362438e-12
1.058446764946e-01,4.199000298977e-01,8.854760742188e+03,2.897771911621e+02,1.436860351562e+02,5.579624697566e-02,0.000000000000e+00,1,5.810000002384e-03,-9.189999662340e-03,0.000000000000e+00,-7.521499915952e-12
1.053427457809e-01,4.318249821663e-01,8.795538085938e+03,2.892105102539e+02,1.476151123047e+02,7.494134455919e-02,0.000000000000e+00,1,6.225000135601e-03,-8.774999529123e-03,0.000000000000e+00,-7.513872336828e-12
1.048102602363e-01,4.439951777458e-01,8.733164062500e+03,2.886183776855e+02,1.516181182861e+02,1.243568658829e-01,0.000000000000e+00,1,6.640000268817e-03,-8.359999395907e-03,0.000000000000e+00,-7.506243890343e-12
1.041992753744e-01,4.572829902172e-01,8.662305664062e+03,2.879555969238e+02,1.559837188721e+02,5.914985015988e-02,0.000000000000e+00,1,7.055000402033e-03,-7.944999262691e-03,0.000000000000e+00,-7.498615443857e-12
1.034894138575e-01,4.719007015228e-01,8.580865234375e+03,2.872047119141e+02,1.607648468018e+02,4.142561554909e-02,0.000000000000e+00,1,7.470000069588e-03,-7.529999595135e-03,0.000000000000e+00,-7.490986997372e-12
1.027910709381e-01,4.872438609600e-01,8.498947265625e+03,2.863948669434e+02,1.657528533936e+02,1.561386417598e-02,0.000000000000e+00,1,7.884999737144e-03,-7.114999461919e-03,0.000000000000e+00,-7.483358550886e-12
1.018992066383e-01,5.047709345818e-01,8.397313476562e+03,2.854454650879e+02,1.714347991943e+02,8.135690353811e-03,0.000000000000e+00,1,8.300000801682e-03,-6.699999328703e-03,0.000000000000e+00,-7.475730104400e-12
1.009724885225e-01,5.233414769173e-01,8.290908203125e+03,2.844150390625e+02,1.774116210938e+02,-1.254614349455e-02,0.000000000000e+00,1,8.715000003576e-03,-6.284999661148e-03,0.000000000000e+00,-7.468102525277e-12
9.995043277740e-02,5.436187982559e-01,8.173540527344e+03,2.832540588379e+02,1.839113311768e+02,-6.975474208593e-02,0.000000000000e+00,1,9.130000136793e-03,-5.869999527931e-03,0.000000000000e+00,-7.460474078791e-12
9.876024723053e-02,5.665960311890e-01,8.037415527344e+03,2.818885498047e+02,1.912116394043e+02,-2.301096729934e-02,0.000000000000e+00,1,9.545000270009e-03,-5.454999394715e-03,0.000000000000e+00,-7.452845632305e-12
9.741599857807e-02,5.920147895813e-01,7.884412109375e+03,2.803333740234e+02,1.992301177979e+02,-2.908600494266e-02,0.000000000000e+00,1,9.959999471903e-03,-5.039999727160e-03,0.000000000000e+00,-7.445217185820e-12
9.592553228140e-02,6.195896863937e-01,7.715761230469e+03,2.786027526855e+02,2.078645172119e+02,-6.448542326689e-02,0.000000000000e+00,1,1.037500053644e-02,-4.624999593943e-03,0.000000000000e+00,-7.437588739334e-12
9.414400905371e-02,6.515341997147e-01,7.516087890625e+03,2.765197753906e+02,2.177744903564e+02,9.946595132351e-02,0.000000000000e+00,1,1.078999973834e-02,-4.209999460727e-03,0.000000000000e+00,-7.429960292848e-12
9.206353873014e-02,6.878150105476e-01,7.284714843750e+03,2.740517883301e+02,2.288538513184e+02,1.106545180082e-01,0.000000000000e+00,1,1.120499987155e-02,-3.794999560341e-03,0.000000000000e+00,-7.422332713725e-12
8.945778757334e-02,7.318840026855e-01,6.998830566406e+03,2.709421081543e+02,2.421041412354e+02,2.241065502167e-01,0.000000000000e+00,1,1.162000000477e-02,-3.379999427125e-03,0.000000000000e+00,-7.414704267239e-12
8.640103042126e-02,7.823954224586e-01,6.667822753906e+03,2.672532043457e+02,2.570548095703e+02,6.344500184059e-01,0.000000000000e+00,1,1.203500013798e-02,-2.964999526739e-03,0.000000000000e+00,-7.407075820753e-12
8.284366875887e-02,8.399946093559e-01,6.289005859375e+03,2.628639526367e+02,2.736789245605e+02,2.890013158321e-01,0.000000000000e+00,1,1.245000027120e-02,-2.549999393523e-03,0.000000000000e+00,-7.399447374268e-12
7.846035063267e-02,9.114151000977e-01,5.828196777344e+03,2.572521972656e+02,2.938321533203e+02,9.551668167114e-02,0.000000000000e+00,1,1.286500040442e-02,-2.134999493137e-03,0.000000000000e+00,-7.391818927782e-12
7.542373985052e-02,9.605676531792e-01,5.515470703125e+03,2.532605285645e+02,3.072904663086e+02,-3.350066840649e-01,0.000000000000e+00,1,1.328000053763e-02,-1.719999476336e-03,0.000000000000e+00,-7.384191348658e-12
7.379154115915e-02,9.871482253075e-01,5.348995117188e+03,2.510713348389e+02,3.144468078613e+02,-8.420000970364e-02,0.000000000000e+00,1,1.369499973953e-02,-1.304999459535e-03,0.000000000000e+00,-7.376562902173e-12
7.285070419312e-02,1.003126978874e+00,5.252693847656e+03,2.497452239990e+02,3.187002563477e+02,2.035280615091e-01,0.000000000000e+00,1,1.410999987274e-02,-8.899995009415e-04,0.000000000000e+00,-7.368934455687e-12
7.193855941296e-02,1.018567919731e+00,5.160152832031e+03,2.484533538818e+02,3.227658081055e+02,3.538245558739e-01,0.000000000000e+00,1,1.452500000596e-02,-4.749994550366e-04,0.000000000000e+00,-7.361306009201e-12
7.027707248926e-02,1.046909332275e+00,4.992987304688e+03,2.460645751953e+02,3.301271362305e+02,4.279499053955e-01,0.000000000000e+00,1,1.494000013918e-02,-5.999946370139e-05,0.000000000000e+00,-7.353677562716e-12
