Mach number [-], Prandtl-Meyer function [degree], gamma=1.4
1,0,
1.01,0.044725,
1.02,0.125688,
1.03,0.229428,
1.04,0.350983,
1.05,0.487411,
1.06,0.636687,
1.07,0.797295,
1.08,0.96804,
1.09,1.147948,
1.1,1.336201,
1.11,1.5321,
1.12,1.735039,
1.13,1.944484,
1.14,2.15996,
1.15,2.381042,
1.16,2.607346,
1.17,2.838523,
1.18,3.074255,
1.19,3.314248,
1.2,3.558233,
1.21,3.805961,
1.22,4.057198,
1.23,4.311731,
1.24,4.569357,
1.25,4.829888,
1.26,5.093147,
1.27,5.358968,
1.28,5.627196,
1.29,5.897681,
1.3,6.170286,
1.31,6.444878,
1.32,6.721334,
1.33,6.999533,
1.34,7.279366,
1.35,7.560724,
1.36,7.843507,
1.37,8.127618,
1.38,8.412965,
1.39,8.69946,
1.4,8.98702,
1.41,9.275565,
1.42,9.565018,
1.43,9.855307,
1.44,10.146361,
1.45,10.438113,
1.46,10.730501,
1.47,11.023462,
1.48,11.316937,
1.49,11.610871,
1.5,11.905209,
1.51,12.199899,
1.52,12.494891,
1.53,12.790139,
1.54,13.085594,
1.55,13.381214,
1.56,13.676957,
1.57,13.97278,
1.58,14.268646,
1.59,14.564516,
1.6,14.860354,
1.61,15.156125,
1.62,15.451795,
1.63,15.747333,
1.64,16.042707,
1.65,16.337887,
1.66,16.632845,
1.67,16.927552,
1.68,17.221983,
1.69,17.51611,
1.7,17.80991,
1.71,18.103358,
1.72,18.396433,
1.73,18.68911,
1.74,18.98137,
1.75,19.273192,
1.76,19.564556,
1.77,19.855443,
1.78,20.145835,
1.79,20.435715,
1.8,20.725064,
1.81,21.013868,
1.82,21.30211,
1.83,21.589775,
1.84,21.876849,
1.85,22.163318,
1.86,22.449169,
1.87,22.734388,
1.88,23.018963,
1.89,23.302882,
1.9,23.586135,
1.91,23.868709,
1.92,24.150595,
1.93,24.431782,
1.94,24.71226,
1.95,24.992021,
1.96,25.271055,
1.97,25.549354,
1.98,25.82691,
1.99,26.103715,
2,26.379761,
2.01,26.655041,
2.02,26.929549,
2.03,27.203278,
2.04,27.476222,
2.05,27.748374,
2.06,28.01973,
2.07,28.290283,
2.08,28.56003,
2.09,28.828964,
2.1,29.097081,
2.11,29.364378,
2.12,29.630849,
2.13,29.896492,
2.14,30.161301,
2.15,30.425275,
2.16,30.688409,
2.17,30.950701,
2.18,31.212148,
2.19,31.472747,
2.2,31.732496,
2.21,31.991392,
2.22,32.249433,
2.23,32.506618,
2.24,32.762944,
2.25,33.01841,
2.26,33.273015,
2.27,33.526756,
2.28,33.779634,
2.29,34.031647,
2.3,34.282794,
2.31,34.533074,
2.32,34.782487,
2.33,35.031032,
2.34,35.278709,
2.35,35.525518,
2.36,35.771458,
2.37,36.016529,
2.38,36.260731,
2.39,36.504065,
2.4,36.746531,
2.41,36.988129,
2.42,37.22886,
2.43,37.468724,
2.44,37.707721,
2.45,37.945854,
2.46,38.183121,
2.47,38.419525,
2.48,38.655066,
2.49,38.889745,
2.5,39.123564,
2.51,39.356523,
2.52,39.588624,
2.53,39.819868,
2.54,40.050257,
2.55,40.279791,
2.56,40.508473,
2.57,40.736304,
2.58,40.963286,
2.59,41.18942,
2.6,41.414708,
2.61,41.639152,
2.62,41.862753,
2.63,42.085514,
2.64,42.307437,
2.65,42.528523,
2.66,42.748775,
